Category,Sample,Value
Line A,Run 01,43.9
Line A,Run 02,35.3
Line A,Run 03,42.4
Line A,Run 04,44.3
Line A,Run 05,42.6
Line A,Run 06,41.9
Line A,Run 07,41.1
Line A,Run 08,46.9
Line A,Run 09,44.4
Line A,Run 10,41.1
Line A,Run 11,42.4
Line A,Run 12,41.0
Line A,Run 13,42.7
Line A,Run 14,47.9
Line A,Run 15,46.8
Line A,Run 16,39.2
Line A,Run 17,40.0
Line A,Run 18,46.2
Line A,Run 19,42.5
Line A,Run 20,43.6
Line A,Run 21,45.8
Line A,Run 22,45.6
Line A,Run 23,39.8
Line A,Run 24,39.6
Line A,Run 25,45.0
Line A,Run 26,43.3
Line A,Run 27,39.0
Line A,Run 28,35.8
Line A,Run 29,37.6
Line A,Run 30,38.1
Line A,Run 31,44.7
Line A,Run 32,42.0
Line A,Run 33,37.5
Line A,Run 34,35.1
Line A,Run 35,38.3
Line A,Run 36,47.4
Line A,Run 37,40.0
Line A,Run 38,43.6
Line A,Run 39,39.1
Line A,Run 40,44.9
Line B,Run 01,51.7
Line B,Run 02,53.4
Line B,Run 03,49.6
Line B,Run 04,50.8
Line B,Run 05,55.8
Line B,Run 06,42.4
Line B,Run 07,50.3
Line B,Run 08,48.0
Line B,Run 09,50.5
Line B,Run 10,56.5
Line B,Run 11,43.3
Line B,Run 12,33.9
Line B,Run 13,39.3
Line B,Run 14,44.5
Line B,Run 15,51.7
Line B,Run 16,56.1
Line B,Run 17,51.5
Line B,Run 18,55.8
Line B,Run 19,45.3
Line B,Run 20,48.1
Line B,Run 21,46.1
Line B,Run 22,50.5
Line B,Run 23,52.2
Line B,Run 24,45.3
Line B,Run 25,44.2
Line B,Run 26,42.5
Line B,Run 27,52.1
Line B,Run 28,47.2
Line B,Run 29,43.3
Line B,Run 30,44.7
Line B,Run 31,57.2
Line B,Run 32,45.8
Line B,Run 33,46.1
Line B,Run 34,35.5
Line B,Run 35,46.6
Line B,Run 36,44.1
Line B,Run 37,46.9
Line B,Run 38,49.6
Line B,Run 39,47.8
Line B,Run 40,43.0
Line C,Run 01,40.9
Line C,Run 02,40.6
Line C,Run 03,46.9
Line C,Run 04,46.1
Line C,Run 05,41.1
Line C,Run 06,44.9
Line C,Run 07,42.7
Line C,Run 08,38.8
Line C,Run 09,45.5
Line C,Run 10,43.9
Line C,Run 11,38.5
Line C,Run 12,60.5
Line C,Run 13,46.6
Line C,Run 14,39.8
Line C,Run 15,43.8
Line C,Run 16,46.0
Line C,Run 17,45.8
Line C,Run 18,43.2
Line C,Run 19,41.0
Line C,Run 20,43.3
Line C,Run 21,51.6
Line C,Run 22,36.9
Line C,Run 23,46.9
Line C,Run 24,44.9
Line C,Run 25,50.1
Line C,Run 26,36.3
Line C,Run 27,40.9
Line C,Run 28,45.6
Line C,Run 29,45.0
Line C,Run 30,63.2
Line C,Run 31,40.1
Line C,Run 32,42.4
Line C,Run 33,41.9
Line C,Run 34,37.8
Line C,Run 35,41.6
Line C,Run 36,46.9
Line C,Run 37,46.5
Line C,Run 38,45.2
Line C,Run 39,42.0
Line C,Run 40,48.6
Line D,Run 01,33.1
Line D,Run 02,40.8
Line D,Run 03,41.6
Line D,Run 04,40.0
Line D,Run 05,40.3
Line D,Run 06,33.4
Line D,Run 07,29.8
Line D,Run 08,40.8
Line D,Run 09,35.0
Line D,Run 10,43.6
Line D,Run 11,38.0
Line D,Run 12,37.4
Line D,Run 13,36.8
Line D,Run 14,39.1
Line D,Run 15,41.1
Line D,Run 16,37.8
Line D,Run 17,39.4
Line D,Run 18,34.4
Line D,Run 19,40.3
Line D,Run 20,37.7
Line D,Run 21,40.2
Line D,Run 22,37.4
Line D,Run 23,36.2
Line D,Run 24,40.9
Line D,Run 25,43.4
Line D,Run 26,39.9
Line D,Run 27,41.7
Line D,Run 28,41.0
Line D,Run 29,41.7
Line D,Run 30,38.2
Line D,Run 31,38.5
Line D,Run 32,41.9
Line D,Run 33,41.0
Line D,Run 34,40.4
Line D,Run 35,36.1
Line D,Run 36,39.5
Line D,Run 37,37.8
Line D,Run 38,43.8
Line D,Run 39,36.1
Line D,Run 40,42.1
Line E,Run 01,45.0
Line E,Run 02,45.0
Line E,Run 03,45.0
Line E,Run 04,45.0
Line E,Run 05,45.0
Line E,Run 06,45.0
Line E,Run 07,45.0
Line E,Run 08,45.0
Line E,Run 09,45.0
Line E,Run 10,45.0
Line E,Run 11,45.0
Line E,Run 12,45.0
Line E,Run 13,45.0
Line E,Run 14,45.0
Line E,Run 15,45.0
Line E,Run 16,45.0
Line E,Run 17,45.0
Line E,Run 18,45.0
Line E,Run 19,45.0
Line E,Run 20,45.0
Line E,Run 21,45.0
Line E,Run 22,45.0
Line E,Run 23,55.0
Line E,Run 24,45.0
Line E,Run 25,45.0
Line E,Run 26,45.0
Line E,Run 27,45.0
Line E,Run 28,45.0
Line E,Run 29,45.0
Line E,Run 30,45.0
Line E,Run 31,45.0
Line E,Run 32,45.0
Line E,Run 33,45.0
Line E,Run 34,45.0
Line E,Run 35,45.0
Line E,Run 36,45.0
Line E,Run 37,45.0
Line E,Run 38,45.0
Line E,Run 39,45.0
Line E,Run 40,45.0
